1, 1166, 0, 226033, 4048, 0, 913, 0, 0, 0, 0, 18975, 0, 23324, 1017.404785, 114.441353, 0.000000, 120.105194, 371.974091, 1893.691406
2, 1166, 0, 158, 0, 0, 1, 0, 0, 3495, 0, 10848, 0, 116, 66.594421, 1.002450, 207.326691, 38.736336, 152.759995, 696.079529
2, 1166, 0, 416, 0, 0, 0, 0, 0, 3498, 0, 10736, 0, 108, 67.715492, 0.000000, 107.551178, 24.750488, 141.525879, 571.354675
2, 1166, 0, 452, 0, 0, 0, 0, 0, 3498, 0, 10008, 0, 152, 67.717163, 0.000000, 111.208450, 20.129194, 142.767242, 565.894653
2, 1166, 0, 1220, 0, 0, 1, 0, 0, 3495, 0, 11488, 0, 344, 80.939476, 0.497883, 114.254227, 25.953428, 129.483109, 589.991882
2, 1166, 0, 3371, 0, 0, 1, 0, 374, 3469, 0, 10872, 0, 1276, 104.894691, 0.128648, 116.227386, 31.319878, 135.750092, 617.203430
2, 1166, 0, 17088, 0, 0, 3, 0, 102, 3502, 0, 14000, 0, 3044, 209.019165, 0.180441, 116.803795, 61.956417, 129.035355, 820.400024
2, 1166, 0, 18752, 0, 0, 9, 0, 34, 3479, 0, 17640, 0, 1632, 213.182663, 1.420137, 116.832199, 78.785881, 102.442024, 748.477539
2, 1166, 0, 28054, 0, 0, 0, 0, 206, 3491, 0, 19864, 0, 856, 265.787903, 0.000000, 115.490585, 93.526909, 80.570244, 797.965149
2, 1166, 0, 19750, 0, 0, 2, 0, 34, 3489, 0, 23280, 0, 164, 209.919693, 0.238917, 108.906158, 110.962852, 36.256943, 712.220642
2, 1166, 0, 21855, 0, 0, 0, 0, 79, 3511, 0, 20896, 0, 20, 222.886383, 0.000000, 113.012863, 96.911842, 48.164375, 726.615784
2, 1166, 0, 12915, 32, 0, 2, 0, 91, 3477, 0, 16944, 0, 28, 203.636002, 1.428491, 113.106422, 59.908077, 47.943836, 665.396179
2, 1166, 0, 21811, 16, 0, 10, 0, 103, 3464, 0, 16107, 0, 20, 232.747147, 1.101024, 115.463852, 79.816734, 31.655697, 697.817078
2, 1166, 0, 20518, 0, 0, 3, 0, 140, 3474, 0, 16848, 0, 76, 214.940292, 0.309089, 111.535919, 69.222511, 53.560898, 681.660950
2, 1166, 0, 9687, 0, 0, 4, 0, 35, 3480, 0, 14720, 0, 28, 141.081467, 0.272332, 107.755013, 59.560562, 52.137421, 597.027405
2, 1166, 0, 19482, 0, 0, 0, 0, 46, 3492, 0, 20912, 0, 0, 214.099915, 0.000000, 113.408829, 88.536377, 28.237343, 685.206238
2, 1166, 0, 12407, 0, 0, 2, 0, 92, 3480, 0, 19016, 0, 0, 168.000580, 0.193807, 115.517319, 75.230522, 28.486284, 629.640442
2, 1166, 0, 15923, 0, 0, 1, 0, 172, 3474, 0, 20288, 0, 0, 192.655838, 0.101916, 120.253891, 84.237534, 28.626629, 675.318787
2, 1166, 0, 20767, 0, 0, 0, 0, 46, 3492, 0, 21368, 0, 0, 219.123856, 0.000000, 109.773277, 117.218140, 28.213953, 720.609436
